iter,primal_residual,dual_residual,objective
1,562.4547128792638,562.4547128792638,
2,1687.364138637791,0.0,
3,3374.7282772755825,0.0,
4,6749.456554551166,0.0,
5,13498.913109102328,0.0,
6,26997.82621820466,0.0,
7,53995.65243640932,0.0,
8,107991.30487281868,0.0,
9,215982.60974563737,0.0,
10,431965.2194912748,0.0,
11,863930.4389825496,0.0,
12,1727860.8779650992,0.0,
13,3455721.755930198,0.0,
14,6911443.511860397,0.0,
15,13822887.023720793,0.0,
16,27645774.047441587,0.0,
17,562.4547128792638,0.0,
18,562.4547128792638,0.0,
19,562.4547128792638,0.0,
20,562.4547128792638,0.0,
21,562.4547128792638,0.0,
22,562.4547128792638,0.0,
23,562.4547128792638,0.0,
24,562.4547128792638,0.0,
25,562.4547128792638,0.0,
26,562.4547128792638,0.0,
27,562.4547128792638,0.0,
28,562.4547128792638,0.0,
29,562.4547128792638,0.0,
30,562.4547128792638,0.0,
31,562.4547128792638,0.0,
32,562.4547128792638,0.0,
33,562.4547128792638,0.0,
34,562.4547128792638,0.0,
35,562.4547128792638,0.0,
36,562.4547128792638,0.0,
37,562.4547128792638,0.0,
38,562.4547128792638,0.0,
39,562.4547128792638,0.0,
40,562.4547128792638,0.0,
41,562.4547128792638,0.0,
42,562.4547128792638,0.0,
43,562.4547128792638,0.0,
44,562.4547128792638,0.0,
45,562.4547128792638,0.0,
46,562.4547128792638,0.0,
47,562.4547128792638,0.0,
48,562.4547128792638,0.0,
49,562.4547128792638,0.0,
50,562.4547128792638,0.0,
51,562.4547128792638,0.0,
52,562.4547128792638,0.0,
53,562.4547128792638,0.0,
54,562.4547128792638,0.0,
55,562.4547128792638,0.0,
56,562.4547128792638,0.0,
57,562.4547128792638,0.0,
58,562.4547128792638,0.0,
59,562.4547128792638,0.0,
60,562.4547128792638,0.0,
61,562.4547128792638,0.0,
62,562.4547128792638,0.0,
63,562.4547128792638,0.0,
64,562.4547128792638,0.0,
65,562.4547128792638,0.0,
66,562.4547128792638,0.0,
67,562.4547128792638,0.0,
68,562.4547128792638,0.0,
69,562.4547128792638,0.0,
70,562.4547128792638,0.0,
71,562.4547128792638,0.0,
72,562.4547128792638,0.0,
73,562.4547128792638,0.0,
74,562.4547128792638,0.0,
75,562.4547128792638,0.0,
76,562.4547128792638,0.0,
77,562.4547128792638,0.0,
78,562.4547128792638,0.0,
79,562.4547128792638,0.0,
80,562.4547128792638,0.0,
81,562.4547128792638,0.0,
82,562.4547128792638,0.0,
83,562.4547128792638,0.0,
84,562.4547128792638,0.0,
85,562.4547128792638,0.0,
86,562.4547128792638,0.0,
87,562.4547128792638,0.0,
88,562.4547128792638,0.0,
89,562.4547128792638,0.0,
90,562.4547128792638,0.0,
91,562.4547128792638,0.0,
92,562.4547128792638,0.0,
93,562.4547128792638,0.0,
94,562.4547128792638,0.0,
95,562.4547128792638,0.0,
96,562.4547128792638,0.0,
97,562.4547128792638,0.0,
98,562.4547128792638,0.0,
99,562.4547128792638,0.0,
100,562.4547128792638,0.0,
