iter,primal_residual,dual_residual,objective
1,446.9034676679087,453.18346772992976,
2,459.4634677926781,0.0,
3,459.46346779267867,0.0,
4,459.4634677926789,0.0,
5,459.46346779267907,0.0,
6,459.4634677926792,0.0,
7,459.46346779267924,0.0,
8,459.4634677926793,0.0,
9,459.4634677926793,0.0,
10,459.46346779267935,0.0,
11,459.46346779267935,0.0,
12,459.4634677926794,0.0,
13,459.4634677926794,0.0,
14,459.4634677926794,0.0,
15,459.46346779267947,0.0,
16,459.46346779267947,0.0,
17,459.46346779267947,0.0,
18,459.46346779267947,0.0,
19,459.46346779267947,0.0,
20,459.4634677926795,0.0,
21,459.4634677926795,0.0,
22,459.4634677926795,0.0,
23,459.4634677926795,0.0,
24,459.4634677926795,0.0,
25,459.4634677926795,0.0,
26,459.4634677926795,0.0,
27,459.4634677926795,0.0,
28,459.4634677926795,0.0,
29,459.4634677926795,0.0,
30,459.4634677926795,0.0,
31,459.4634677926795,0.0,
32,459.4634677926796,0.0,
33,459.4634677926796,0.0,
34,459.4634677926796,0.0,
35,459.4634677926796,0.0,
36,459.4634677926796,0.0,
37,459.4634677926796,0.0,
38,459.4634677926796,0.0,
39,459.4634677926796,0.0,
40,459.4634677926796,0.0,
41,459.4634677926796,0.0,
42,459.4634677926796,0.0,
43,459.4634677926796,0.0,
44,459.4634677926796,0.0,
45,459.4634677926796,0.0,
46,459.4634677926796,0.0,
47,459.4634677926796,0.0,
48,459.4634677926796,0.0,
49,459.4634677926796,0.0,
50,459.4634677926796,0.0,
51,459.4634677926796,0.0,
52,459.4634677926796,0.0,
53,459.4634677926796,0.0,
54,459.4634677926796,0.0,
55,459.4634677926796,0.0,
56,459.4634677926796,0.0,
57,459.4634677926796,0.0,
58,459.4634677926796,0.0,
59,459.4634677926796,0.0,
60,459.4634677926796,0.0,
61,459.4634677926796,0.0,
62,459.4634677926796,0.0,
63,459.4634677926796,0.0,
64,459.4634677926796,0.0,
65,459.4634677926796,0.0,
66,459.4634677926796,0.0,
67,459.4634677926796,0.0,
68,459.4634677926796,0.0,
69,459.4634677926796,0.0,
70,459.4634677926796,0.0,
71,459.4634677926796,0.0,
72,459.4634677926796,0.0,
73,459.4634677926796,0.0,
74,459.4634677926796,0.0,
75,459.4634677926796,0.0,
76,459.4634677926796,0.0,
77,459.4634677926796,0.0,
78,459.4634677926796,0.0,
79,459.4634677926796,0.0,
80,459.4634677926796,0.0,
81,459.4634677926796,0.0,
82,459.4634677926796,0.0,
83,459.4634677926796,0.0,
84,459.4634677926796,0.0,
85,459.4634677926796,0.0,
86,459.4634677926796,0.0,
87,459.4634677926796,0.0,
88,459.4634677926796,0.0,
89,459.4634677926796,0.0,
90,459.46346779267964,0.0,
91,459.46346779267964,0.0,
92,459.46346779267964,0.0,
93,459.46346779267964,0.0,
94,459.46346779267964,0.0,
95,459.46346779267964,0.0,
96,459.46346779267964,0.0,
97,459.46346779267964,0.0,
98,459.46346779267964,0.0,
99,459.46346779267964,0.0,
100,459.46346779267964,0.0,
