iter,primal_residual,dual_residual,objective,step
1,430.9288542453563,430.9288542453563,,0
2,1292.7865627360688,0.0,,0
3,2585.573125472138,0.0,,0
4,5171.146250944275,0.0,,0
5,10342.29250188855,0.0,,0
6,20684.58500377711,0.0,,0
7,41369.17000755422,0.0,,0
8,82738.34001510844,0.0,,0
9,165476.6800302168,0.0,,0
10,330953.3600604336,0.0,,0
11,661906.7201208672,0.0,,0
12,1323813.4402417345,0.0,,0
13,2647626.8804834685,0.0,,0
14,5295253.760966938,0.0,,0
15,10590507.521933876,0.0,,0
16,21181015.043867752,0.0,,0
17,430.9288542453563,0.0,,0
18,430.9288542453563,0.0,,0
19,430.9288542453563,0.0,,0
20,430.9288542453563,0.0,,0
21,430.9288542453563,0.0,,0
22,430.9288542453563,0.0,,0
23,430.9288542453563,0.0,,0
24,430.9288542453563,0.0,,0
25,430.9288542453563,0.0,,0
26,430.9288542453563,0.0,,0
27,430.9288542453563,0.0,,0
28,430.9288542453563,0.0,,0
29,430.9288542453563,0.0,,0
30,430.9288542453563,0.0,,0
31,430.9288542453563,0.0,,0
32,430.9288542453563,0.0,,0
33,430.9288542453563,0.0,,0
34,430.9288542453563,0.0,,0
35,430.9288542453563,0.0,,0
36,430.9288542453563,0.0,,0
37,430.9288542453563,0.0,,0
38,430.9288542453563,0.0,,0
39,430.9288542453563,0.0,,0
40,430.9288542453563,0.0,,0
41,430.9288542453563,0.0,,0
42,430.9288542453563,0.0,,0
43,430.9288542453563,0.0,,0
44,430.9288542453563,0.0,,0
45,430.9288542453563,0.0,,0
46,430.9288542453563,0.0,,0
47,430.9288542453563,0.0,,0
48,430.9288542453563,0.0,,0
49,430.9288542453563,0.0,,0
50,430.9288542453563,0.0,,0
51,430.9288542453563,0.0,,0
52,430.9288542453563,0.0,,0
53,430.9288542453563,0.0,,0
54,430.9288542453563,0.0,,0
55,430.9288542453563,0.0,,0
56,430.9288542453563,0.0,,0
57,430.9288542453563,0.0,,0
58,430.9288542453563,0.0,,0
59,430.9288542453563,0.0,,0
60,430.9288542453563,0.0,,0
61,430.9288542453563,0.0,,0
62,430.9288542453563,0.0,,0
63,430.9288542453563,0.0,,0
64,430.9288542453563,0.0,,0
65,430.9288542453563,0.0,,0
66,430.9288542453563,0.0,,0
67,430.9288542453563,0.0,,0
68,430.9288542453563,0.0,,0
69,430.9288542453563,0.0,,0
70,430.9288542453563,0.0,,0
71,430.9288542453563,0.0,,0
72,430.9288542453563,0.0,,0
73,430.9288542453563,0.0,,0
74,430.9288542453563,0.0,,0
75,430.9288542453563,0.0,,0
76,430.9288542453563,0.0,,0
77,430.9288542453563,0.0,,0
78,430.9288542453563,0.0,,0
79,430.9288542453563,0.0,,0
80,430.9288542453563,0.0,,0
81,430.9288542453563,0.0,,0
82,430.9288542453563,0.0,,0
83,430.9288542453563,0.0,,0
84,430.9288542453563,0.0,,0
85,430.9288542453563,0.0,,0
86,430.9288542453563,0.0,,0
87,430.9288542453563,0.0,,0
88,430.9288542453563,0.0,,0
89,430.9288542453563,0.0,,0
90,430.9288542453563,0.0,,0
91,430.9288542453563,0.0,,0
92,430.9288542453563,0.0,,0
93,430.9288542453563,0.0,,0
94,430.9288542453563,0.0,,0
95,430.9288542453563,0.0,,0
96,430.9288542453563,0.0,,0
97,430.9288542453563,0.0,,0
98,430.9288542453563,0.0,,0
99,430.9288542453563,0.0,,0
100,430.9288542453563,0.0,,0
1,430.9288542453563,430.9288542453563,,1
2,1292.7865627360688,0.0,,1
3,2585.573125472138,0.0,,1
4,5171.146250944275,0.0,,1
5,10342.29250188855,0.0,,1
6,20684.58500377711,0.0,,1
7,41369.17000755422,0.0,,1
8,82738.34001510844,0.0,,1
9,165476.6800302168,0.0,,1
10,330953.3600604336,0.0,,1
11,661906.7201208672,0.0,,1
12,1323813.4402417345,0.0,,1
13,2647626.8804834685,0.0,,1
14,5295253.760966938,0.0,,1
15,10590507.521933876,0.0,,1
16,21181015.043867752,0.0,,1
17,430.9288542453563,0.0,,1
18,430.9288542453563,0.0,,1
19,430.9288542453563,0.0,,1
20,430.9288542453563,0.0,,1
21,430.9288542453563,0.0,,1
22,430.9288542453563,0.0,,1
23,430.9288542453563,0.0,,1
24,430.9288542453563,0.0,,1
25,430.9288542453563,0.0,,1
26,430.9288542453563,0.0,,1
27,430.9288542453563,0.0,,1
28,430.9288542453563,0.0,,1
29,430.9288542453563,0.0,,1
30,430.9288542453563,0.0,,1
