step,tso_vector,dso_vector,residual_max,residual_mean,envelope_upper,envelope_lower,tso_h,dso_h
0,[-6.280000062749851],[419.1204132539035],425.4004133166534,425.4004133166534,[419.1704132539035],[-0.049999999999999996],"[[-6.280000062749851], [-6.280000062749851], [-6.280000062749851], [-6.280000062749851], [-6.280000062749851], [-6.280000062749851]]","[[419.1204132539035], [425.88811094280146], [418.62176368494056], [367.6091555528094], [380.15812907657465], [330.92848659008814]]"
1,[-6.280000062749851],[419.1204132539035],425.4004133166534,425.4004133166534,[419.1704132539035],[-0.049999999999999996],"[[-6.280000062749851], [-6.280000062749851], [-6.280000062749851], [-6.280000062749851], [-6.280000062749851], [-6.280000062749851]]","[[419.1204132539035], [425.88811094280146], [418.62176368494056], [367.6091555528094], [380.15812907657465], [330.92848659008814]]"
2,[-6.280000062749851],[419.1204132539035],425.4004133166534,425.4004133166534,[419.1704132539035],[-0.049999999999999996],"[[-6.280000062749851], [-6.280000062749851], [-6.280000062749851], [-6.280000062749851], [-6.280000062749851], [-6.280000062749851]]","[[419.1204132539035], [425.88811094280146], [418.62176368494056], [367.6091555528094], [380.15812907657465], [330.92848659008814]]"
3,[-6.280000062749851],[419.1204132539035],425.4004133166534,425.4004133166534,[419.1704132539035],[-0.049999999999999996],"[[-6.280000062749851], [-6.280000062749851], [-6.280000062749851], [-6.280000062749851], [-6.280000062749851], [-6.280000062749851]]","[[419.1204132539035], [425.88811094280146], [418.62176368494056], [367.6091555528094], [380.15812907657465], [330.92848659008814]]"
4,[-6.280000062749851],[419.1204132539035],425.4004133166534,425.4004133166534,[419.1704132539035],[-0.049999999999999996],"[[-6.280000062749851], [-6.280000062749851], [-6.280000062749851], [-6.280000062749851], [-6.280000062749851], [-6.280000062749851]]","[[419.1204132539035], [425.88811094280146], [418.62176368494056], [367.6091555528094], [380.15812907657465], [330.92848659008814]]"
5,[-6.280000062749851],[419.1204132539035],425.4004133166534,425.4004133166534,[419.1704132539035],[-0.049999999999999996],"[[-6.280000062749851], [-6.280000062749851], [-6.280000062749851], [-6.280000062749851], [-6.280000062749851], [-6.280000062749851]]","[[419.1204132539035], [425.88811094280146], [418.62176368494056], [367.6091555528094], [380.15812907657465], [330.92848659008814]]"
