step,tso_vector,dso_vector,residual_max,residual_mean,envelope_upper,envelope_lower
0,[0.0],[-1.5990844525791643e-08],1.5990844525791643e-08,1.5990844525791643e-08,[0.049999999999999996],[-0.050000015990844526]
1,[0.0],[-1.5990844525791643e-08],1.5990844525791643e-08,1.5990844525791643e-08,[0.049999999999999996],[-0.050000015990844526]
2,[0.0],[-1.5990844525791643e-08],1.5990844525791643e-08,1.5990844525791643e-08,[0.049999999999999996],[-0.050000015990844526]
3,[0.0],[-1.5990844525791643e-08],1.5990844525791643e-08,1.5990844525791643e-08,[0.049999999999999996],[-0.050000015990844526]
4,[0.0],[-1.5990844525791643e-08],1.5990844525791643e-08,1.5990844525791643e-08,[0.049999999999999996],[-0.050000015990844526]
5,[0.0],[-1.5990844525791643e-08],1.5990844525791643e-08,1.5990844525791643e-08,[0.049999999999999996],[-0.050000015990844526]
