step,tso_vector,dso_vector,residual_max,residual_mean,envelope_upper,envelope_lower
0,[0.0],[-7.995277130531045e-09],7.995277130531045e-09,7.995277130531045e-09,[0.049999999999999996],[-0.05000000799527713]
1,[0.0],[-7.995277130531045e-09],7.995277130531045e-09,7.995277130531045e-09,[0.049999999999999996],[-0.05000000799527713]
2,[0.0],[-7.995277130531045e-09],7.995277130531045e-09,7.995277130531045e-09,[0.049999999999999996],[-0.05000000799527713]
3,[0.0],[-7.995277130531045e-09],7.995277130531045e-09,7.995277130531045e-09,[0.049999999999999996],[-0.05000000799527713]
4,[0.0],[-7.995277130531045e-09],7.995277130531045e-09,7.995277130531045e-09,[0.049999999999999996],[-0.05000000799527713]
5,[0.0],[-7.995277130531045e-09],7.995277130531045e-09,7.995277130531045e-09,[0.049999999999999996],[-0.05000000799527713]
