step,tso_vector,dso_vector,residual_max,residual_mean,envelope_upper,envelope_lower,tso_h,dso_h
0,"[0.0, 0.0]","[-7.99535770526966e-09, -7.99535770526966e-09]",7.99535770526966e-09,7.99535770526966e-09,"[0.049999999999999996, 0.049999999999999996]","[-0.050000007995357705, -0.050000007995357705]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[[-7.99535770526966e-09, -7.99535770526966e-09], [-7.995359410627139e-09, -7.995359410627139e-09], [-7.995353321283987e-09, -7.995353321283987e-09], [-7.995346343749076e-09, -7.995346343749076e-09], [-7.995349515152027e-09, -7.995349515152027e-09], [-7.995342854096576e-09, -7.995342854096576e-09], [-7.995350423387128e-09, -7.995350423387128e-09], [-7.995340448227392e-09, -7.995340448227392e-09]]"
1,"[0.0, 0.0]","[-7.99535770526966e-09, -7.99535770526966e-09]",7.99535770526966e-09,7.99535770526966e-09,"[0.049999999999999996, 0.049999999999999996]","[-0.050000007995357705, -0.050000007995357705]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[[-7.99535770526966e-09, -7.99535770526966e-09], [-7.995359410627139e-09, -7.995359410627139e-09], [-7.995353321283987e-09, -7.995353321283987e-09], [-7.995346343749076e-09, -7.995346343749076e-09], [-7.995349515152027e-09, -7.995349515152027e-09], [-7.995342854096576e-09, -7.995342854096576e-09], [-7.995350423387128e-09, -7.995350423387128e-09], [-7.995340448227392e-09, -7.995340448227392e-09]]"
2,"[0.0, 0.0]","[-7.99535770526966e-09, -7.99535770526966e-09]",7.99535770526966e-09,7.99535770526966e-09,"[0.049999999999999996, 0.049999999999999996]","[-0.050000007995357705, -0.050000007995357705]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[[-7.99535770526966e-09, -7.99535770526966e-09], [-7.995359410627139e-09, -7.995359410627139e-09], [-7.995353321283987e-09, -7.995353321283987e-09], [-7.995346343749076e-09, -7.995346343749076e-09], [-7.995349515152027e-09, -7.995349515152027e-09], [-7.995342854096576e-09, -7.995342854096576e-09], [-7.995350423387128e-09, -7.995350423387128e-09], [-7.995340448227392e-09, -7.995340448227392e-09]]"
3,"[0.0, 0.0]","[-7.99535770526966e-09, -7.99535770526966e-09]",7.99535770526966e-09,7.99535770526966e-09,"[0.049999999999999996, 0.049999999999999996]","[-0.050000007995357705, -0.050000007995357705]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[[-7.99535770526966e-09, -7.99535770526966e-09], [-7.995359410627139e-09, -7.995359410627139e-09], [-7.995353321283987e-09, -7.995353321283987e-09], [-7.995346343749076e-09, -7.995346343749076e-09], [-7.995349515152027e-09, -7.995349515152027e-09], [-7.995342854096576e-09, -7.995342854096576e-09], [-7.995350423387128e-09, -7.995350423387128e-09], [-7.995340448227392e-09, -7.995340448227392e-09]]"
4,"[0.0, 0.0]","[-7.99535770526966e-09, -7.99535770526966e-09]",7.99535770526966e-09,7.99535770526966e-09,"[0.049999999999999996, 0.049999999999999996]","[-0.050000007995357705, -0.050000007995357705]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[[-7.99535770526966e-09, -7.99535770526966e-09], [-7.995359410627139e-09, -7.995359410627139e-09], [-7.995353321283987e-09, -7.995353321283987e-09], [-7.995346343749076e-09, -7.995346343749076e-09], [-7.995349515152027e-09, -7.995349515152027e-09], [-7.995342854096576e-09, -7.995342854096576e-09], [-7.995350423387128e-09, -7.995350423387128e-09], [-7.995340448227392e-09, -7.995340448227392e-09]]"
5,"[0.0, 0.0]","[-7.99535770526966e-09, -7.99535770526966e-09]",7.99535770526966e-09,7.99535770526966e-09,"[0.049999999999999996, 0.049999999999999996]","[-0.050000007995357705, -0.050000007995357705]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[[-7.99535770526966e-09, -7.99535770526966e-09], [-7.995359410627139e-09, -7.995359410627139e-09], [-7.995353321283987e-09, -7.995353321283987e-09], [-7.995346343749076e-09, -7.995346343749076e-09], [-7.995349515152027e-09, -7.995349515152027e-09], [-7.995342854096576e-09, -7.995342854096576e-09], [-7.995350423387128e-09, -7.995350423387128e-09], [-7.995340448227392e-09, -7.995340448227392e-09]]"
6,"[0.0, 0.0]","[-7.99535770526966e-09, -7.99535770526966e-09]",7.99535770526966e-09,7.99535770526966e-09,"[0.049999999999999996, 0.049999999999999996]","[-0.050000007995357705, -0.050000007995357705]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[[-7.99535770526966e-09, -7.99535770526966e-09], [-7.995359410627139e-09, -7.995359410627139e-09], [-7.995353321283987e-09, -7.995353321283987e-09], [-7.995346343749076e-09, -7.995346343749076e-09], [-7.995349515152027e-09, -7.995349515152027e-09], [-7.995342854096576e-09, -7.995342854096576e-09], [-7.995350423387128e-09, -7.995350423387128e-09], [-7.995340448227392e-09, -7.995340448227392e-09]]"
7,"[0.0, 0.0]","[-7.99535770526966e-09, -7.99535770526966e-09]",7.99535770526966e-09,7.99535770526966e-09,"[0.049999999999999996, 0.049999999999999996]","[-0.050000007995357705, -0.050000007995357705]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[[-7.99535770526966e-09, -7.99535770526966e-09], [-7.995359410627139e-09, -7.995359410627139e-09], [-7.995353321283987e-09, -7.995353321283987e-09], [-7.995346343749076e-09, -7.995346343749076e-09], [-7.995349515152027e-09, -7.995349515152027e-09], [-7.995342854096576e-09, -7.995342854096576e-09], [-7.995350423387128e-09, -7.995350423387128e-09], [-7.995340448227392e-09, -7.995340448227392e-09]]"
